id;title;content;date
1;Fantástico Regional Melissa;../fake-data/blob/hipster.txt;2023-07-13T20:30:03
2;Pará Mouse;../fake-data/blob/hipster.txt;2023-07-14T02:32:10
3;Mercearia caramelo Atum;../fake-data/blob/hipster.txt;2023-07-14T19:03:54
4;Dinâmico Salgadinhos Lustroso;../fake-data/blob/hipster.txt;2023-07-14T01:42:05
5;Futuro Frango;../fake-data/blob/hipster.txt;2023-07-14T14:12:17
6;Feminino;../fake-data/blob/hipster.txt;2023-07-14T08:36:00
7;Arquiteto Engenheiro;../fake-data/blob/hipster.txt;2023-07-14T15:23:18
8;Algodão;../fake-data/blob/hipster.txt;2023-07-14T10:34:30
9;Jardim Camiseta Trinidad;../fake-data/blob/hipster.txt;2023-07-14T02:19:42
10;Carro Pernambuco;../fake-data/blob/hipster.txt;2023-07-13T22:44:50
